package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
ru.otus.marketsample.getApplicationComponent,getApplicationComponent,1,0,0,0,0,0,0,0,1,1,
ru.otus.marketsample.details.feature.compose.Content,Content,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.details.feature.compose.ContentPreview,ContentPreview,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.details.feature.compose.DetailsScreen,DetailsScreen,1,1,1,0,0,0,0,0,1,3,
ru.otus.marketsample.details.feature.compose.DetailsScreenLoadingPreview,DetailsScreenLoadingPreview,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.details.feature.compose.DetailsScreenErrorPreview,DetailsScreenErrorPreview,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.details.feature.compose.DetailsScreenSuccessWithDiscountPreview,DetailsScreenSuccessWithDiscountPreview,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.details.feature.compose.DetailsScreenSuccessWithoutDiscountPreview,DetailsScreenSuccessWithoutDiscountPreview,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.details.feature.compose.DetailsScreenEmptyPreview,DetailsScreenEmptyPreview,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.navigation.BottomBar,BottomBar,1,1,1,0,0,0,0,0,1,3,
ru.otus.marketsample.navigation.MarketNavigationGraph,MarketNavigationGraph,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.navigation.rememberNavigationState,rememberNavigationState,1,0,0,0,0,0,0,0,1,1,
ru.otus.marketsample.products.feature.compose.ProductListItem,ProductListItem,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.products.feature.compose.Discount,Discount,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.products.feature.compose.ProductListItemPreview,ProductListItemPreview,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.products.feature.compose.ProductListScreen,ProductListScreen,1,1,1,0,0,0,0,0,1,3,
ru.otus.marketsample.products.feature.compose.ProductListScreen_LoadingPreview,ProductListScreen_LoadingPreview,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.products.feature.compose.ProductListScreen_NormalPreview,ProductListScreen_NormalPreview,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.products.feature.compose.ProductListScreen_EmptyPreview,ProductListScreen_EmptyPreview,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.products.feature.compose.ProductListScreen_ErrorPreview,ProductListScreen_ErrorPreview,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.products.feature.compose.ProductListScreen_RefreshingPreview,ProductListScreen_RefreshingPreview,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.products.feature.compose.ProductListScreen_SingleItemPreview,ProductListScreen_SingleItemPreview,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.products.feature.compose.ProductListScreen_ManyItemsPreview,ProductListScreen_ManyItemsPreview,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.products.feature.compose.ProductListScreen_LoadingWithErrorPreview,ProductListScreen_LoadingWithErrorPreview,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.promo.feature.compose.PromoListItem,PromoListItem,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.promo.feature.compose.PromoListItemPreview,PromoListItemPreview,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.promo.feature.compose.PromoListScreen,PromoListScreen,1,1,1,0,0,0,0,0,1,3,
ru.otus.marketsample.promo.feature.compose.PromoListScreenLoadingPreview,PromoListScreenLoadingPreview,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.promo.feature.compose.PromoListScreenWithDataPreview,PromoListScreenWithDataPreview,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.promo.feature.compose.PromoListScreenWithFewItemsPreview,PromoListScreenWithFewItemsPreview,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.promo.feature.compose.PromoListScreenWithSingleItemPreview,PromoListScreenWithSingleItemPreview,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.promo.feature.compose.PromoListScreenEmptyPreview,PromoListScreenEmptyPreview,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.promo.feature.compose.PromoListScreenErrorPreview,PromoListScreenErrorPreview,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.promo.feature.compose.PromoListScreenRefreshingPreview,PromoListScreenRefreshingPreview,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.promo.feature.compose.PromoListScreenErrorWithDataPreview,PromoListScreenErrorWithDataPreview,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.promo.feature.compose.PromoListScreenLongTextPreview,PromoListScreenLongTextPreview,1,1,1,0,0,0,0,0,1,1,
